Name,None None
Tax Year,2024
txn_id,currency,created_date,side,amount,thb_exec_price,thb_exec_val,fee,thb_net
POWBUY0003121304,POW,2024/08/12 08:35,Sell,2325.67428571,7.0,16239.01,40.7,16279.71
POWBUY0002946030,POW,2024/02/11 21:09,Sell,6929.78706651,14.5,100230.7,251.21,100481.91
POWSELL0002945757,POW,2024/02/11 21:05,Buy,3493.49794471,14.4,50306.37,125.77,50432.14
POWBUY0002936862,POW,2024/02/04 17:50,Sell,2800.0,10.65,29745.45,74.55,29820.0
POWBUY0002931778,POW,2024/01/24 19:42,Buy,388.29933787,11.17,4337.3,10.85,4348.15
POWSELL0002933740,POW,2024/01/29 07:22,Buy,4398.15520282,11.17,49127.39,122.82,49250.21
POWSELL0002939792,POW,2024/02/10 16:12,Buy,2379.84650819,10.86,25845.13,64.62,25909.75
POWSELL0002945756,POW,2024/02/11 21:05,Buy,1457.97176069,14.4,20994.79,52.49,21047.28
POWSELL0002946190,POW,2024/02/11 21:13,Buy,1284.49611307,14.15,18175.62,45.56,18221.18
POWSELL0003151005,POW,2024/11/17 19:12,Buy,64.93172318,8.4,545.43,1.37,546.8
POWSELL0002946181,POW,2024/02/11 21:13,Buy,100.60282987,14.15,1423.53,3.56,1427.09
POWSELL0002940316,POW,2024/02/11 05:51,Buy,677.66324626,10.86,7359.42,18.4,7377.82
POWSELL0003151006,POW,2024/11/17 19:12,Buy,4154.98105965,8.4,34901.84,87.26,34989.1
POWBUY0002936865,POW,2024/02/04 17:53,Sell,2085.18021394,10.65,22151.64,55.52,22207.16
POWSELL0002936861,POW,2024/02/04 17:50,Sell,5261.0,10.65,55889.57,140.08,56029.65
POWBUY0002941626,POW,2024/02/11 19:30,Sell,796.72523961,12.52,9950.05,24.94,9974.99
POWBUY0002936863,POW,2024/02/04 17:50,Sell,700.0,10.65,7436.36,18.64,7455.0
POWSELL0003206831,POW,2024/12/20 16:05,Buy,611.64169923,7.5,4587.31,11.47,4598.78
POWSELL0002933847,POW,2024/01/29 14:42,Buy,2200.0,11.17,24574.0,61.44,24635.44
POWSELL0002933741,POW,2024/01/29 07:24,Buy,750.29770894,11.17,8380.83,20.96,8401.79
POWSELL0003207765,POW,2024/12/22 08:31,Sell,1994.9993108,8.22,16357.89,41.0,16398.89
POWSELL0003118759,POW,2024/08/05 12:10,Buy,357.20175438,5.7,2036.05,5.11,2041.16
POWSELL0003105697,POW,2024/06/30 09:45,Buy,3208.45454545,7.59,24352.17,61.04,24413.21
POWBUY0003115002,POW,2024/07/28 21:53,Sell,6418.39647058,8.5,54419.96,136.4,54556.36
POWSELL0003115236,POW,2024/07/29 05:20,Buy,398.05157232,7.95,3164.51,7.94,3172.45
POWBUY0002933623,POW,2024/01/28 22:43,Sell,700.0,11.3,7890.22,19.78,7910.0
POWBUY0002933626,POW,2024/01/28 22:46,Sell,8.84955752,11.3,99.74,0.25,99.99
POWBUY0003105013,POW,2024/06/25 16:37,Sell,1.27493606,7.82,9.93,0.03,9.96
POWBUY0003108928,POW,2024/07/11 19:30,Sell,5616.6579415,7.11,39834.59,99.84,39934.43
POWBUY0003115067,POW,2024/07/28 22:22,Sell,1231.90235294,8.5,10444.98,26.18,10471.16
POWSELL0003118755,POW,2024/08/05 12:10,Buy,315.50175439,5.7,1798.36,4.5,1802.86
POWSELL0003119798,POW,2024/08/07 21:13,Sell,1188.00350877,6.43,7619.76,19.1,7638.86
POWSELL0003084141,POW,2024/05/10 16:06,Buy,1304.48997384,11.47,14962.5,37.5,15000.0
POWSELL0003206833,POW,2024/12/20 16:06,Buy,1381.12533333,7.5,10358.44,25.97,10384.41
POWSELL0002931789,POW,2024/01/24 19:56,Buy,8218.25396826,11.2,92044.44,230.12,92274.56
POWSELL0002939787,POW,2024/02/10 15:58,Buy,71.25,10.86,773.78,1.94,775.72
POWSELL0002946186,POW,2024/02/11 21:13,Buy,3094.61837455,14.15,43788.85,109.75,43898.6
POWBUY0003105015,POW,2024/06/25 16:39,Sell,4014.74296675,7.82,31316.79,78.49,31395.28
POWBUY0002941632,POW,2024/02/11 19:30,Sell,4691.33521892,12.52,58588.67,146.84,58735.51
POWSELL0002945759,POW,2024/02/11 21:05,Buy,1978.31736111,14.4,28487.77,71.4,28559.17
POWSELL0003109164,POW,2024/07/14 09:40,Buy,1585.009887,7.09,11237.72,28.1,11265.82
POWSELL0003137021,POW,2024/10/09 22:40,Sell,1158.16821192,7.55,8722.29,21.87,8744.16
POWSELL0003137023,POW,2024/10/09 22:40,Sell,779.83178808,7.53,5857.44,14.69,5872.13
POWSELL0003096621,POW,2024/06/03 07:36,Buy,1096.15384615,10.92,11970.0,30.0,12000.0
POWBUY0003121306,POW,2024/08/12 08:35,Sell,700.0,7.0,4887.75,12.25,4900.0
POWSELL0003105695,POW,2024/06/30 09:43,Buy,3910.19153157,7.59,29678.35,74.2,29752.55
POWSELL0003105694,POW,2024/06/30 09:43,Buy,3902.76010636,7.59,29621.95,74.06,29696.01
POWBUY0003121305,POW,2024/08/12 08:35,Sell,700.0,7.0,4887.75,12.25,4900.0
POWSELL0003118757,POW,2024/08/05 12:10,Buy,359.1,5.7,2046.87,5.12,2051.99
POWBUY0003125568,POW,2024/09/08 09:37,Buy,1201.00334448,5.98,7182.0,18.0,7200.0
POWSELL0003115235,POW,2024/07/29 05:20,Buy,3888.24771303,7.95,30911.57,77.28,30988.85
POWSELL0003119797,POW,2024/08/07 21:13,Sell,562.0,6.43,3604.62,9.04,3613.66
POWSELL0003121496,POW,2024/08/12 20:48,Buy,5594.46906474,6.95,38881.56,97.45,38979.01
POWSELL0003115234,POW,2024/07/29 05:18,Buy,3852.46119033,7.95,30627.07,76.57,30703.64
POWBUY0002931779,POW,2024/01/24 19:42,Buy,856.42510863,11.2,9591.96,23.98,9615.94
POWBUY0002933624,POW,2024/01/28 22:44,Sell,700.0,11.3,7890.22,19.78,7910.0
POWBUY0002933625,POW,2024/01/28 22:44,Sell,272.12477876,11.3,3067.31,7.69,3075.0
POWSELL0002933848,POW,2024/01/29 14:42,Buy,8322.97940913,11.17,92967.68,233.01,93200.69
POWBUY0003108903,POW,2024/07/11 13:43,Sell,2.14908579,7.11,15.23,0.04,15.27
POWSELL0002939793,POW,2024/02/10 16:13,Buy,4589.78084714,10.86,49845.02,124.93,49969.95
POWBUY0002941627,POW,2024/02/11 19:30,Sell,796.72523961,12.52,9950.05,24.94,9974.99
POWSELL0002936859,POW,2024/02/04 17:50,Sell,605.25304592,10.67,6441.89,16.15,6458.04
POWSELL0002936860,POW,2024/02/04 17:50,Sell,3520.0,10.67,37464.5,93.9,37558.4
POWBUY0003108902,POW,2024/07/11 13:37,Sell,14.0646976,7.11,99.74,0.25,99.99
POWBUY0003108920,POW,2024/07/11 18:59,Sell,1362.0787623,7.11,9660.15,24.22,9684.37
POWSELL0003109163,POW,2024/07/14 09:28,Buy,2.43712274,7.09,17.28,0.05,17.33
POWBUY0002933627,POW,2024/01/28 22:47,Sell,8744.0,11.3,98560.18,247.02,98807.2
POWSELL0002933622,POW,2024/01/28 22:43,Sell,1906.38053097,11.3,21488.23,53.86,21542.09
POWSELL0002931783,POW,2024/01/24 19:44,Buy,100.0,11.2,1120.0,2.8,1122.8
POWBUY0002931781,POW,2024/01/24 19:42,Buy,1362.0,11.2,15254.4,38.14,15292.54
POWSELL0003109234,POW,2024/07/14 19:55,Buy,1232.83638928,7.09,8740.81,21.91,8762.72
POWBUY0002941614,POW,2024/02/11 19:30,Sell,1725.54792332,12.52,21549.84,54.01,21603.85
POWSELL0002946185,POW,2024/02/11 21:13,Buy,3670.23880842,14.15,51933.88,129.84,52063.72
