Name,None None
Tax Year,2024
txn_id,currency,created_date,side,amount,thb_exec_price,thb_exec_val,fee,thb_net
SCRTBUY0002198663,SCRT,2024/02/10 11:00,Sell,360.2128749,13.67,4911.78,12.32,4924.1
SCRTBUY0002198664,SCRT,2024/02/10 11:00,Sell,360.46378931,13.67,4915.21,12.32,4927.53
SCRTBUY0002200659,SCRT,2024/02/11 21:12,Sell,161.5737925,13.8,2224.13,5.58,2229.71
SCRTSELL0002195940,SCRT,2024/02/04 18:55,Buy,401.30268199,13.05,5237.0,13.1,5250.1
SCRTSELL0002195944,SCRT,2024/02/04 18:55,Buy,387.27969349,13.05,5054.0,12.64,5066.64
SCRTSELL0002195951,SCRT,2024/02/04 18:58,Buy,391.18773946,13.05,5105.0,12.77,5117.77
SCRTBUY0002200656,SCRT,2024/02/11 21:11,Sell,386.21376811,13.8,5316.41,13.33,5329.74
SCRTSELL0002195938,SCRT,2024/02/04 18:55,Buy,397.39463602,13.05,5186.0,12.97,5198.97
SCRTBUY0002200658,SCRT,2024/02/11 21:12,Sell,386.07753623,13.8,5314.54,13.32,5327.86
SCRTBUY0002380144,SCRT,2024/11/17 18:40,Sell,135.64991296,10.0,1353.09,3.4,1356.49
SCRTBUY0002380141,SCRT,2024/11/17 18:40,Sell,515.5,10.0,5142.11,12.89,5155.0
SCRTSELL0002195946,SCRT,2024/02/04 18:56,Buy,385.28735632,13.05,5028.0,12.57,5040.57
SCRTSELL0002195942,SCRT,2024/02/04 18:55,Buy,387.34509953,13.05,5054.85,12.64,5067.49
SCRTBUY0002380136,SCRT,2024/11/17 18:40,Sell,93.527,10.0,932.93,2.34,935.27
SCRTBUY0002380140,SCRT,2024/11/17 18:40,Sell,535.4,10.0,5340.61,13.39,5354.0
SCRTBUY0002380139,SCRT,2024/11/17 18:40,Sell,442.7,10.0,4415.93,11.07,4427.0
SCRTBUY0002344394,SCRT,2024/08/24 22:12,Sell,1327.9527461,8.18,10835.49,27.16,10862.65
SCRTBUY0002340395,SCRT,2024/08/09 10:43,Buy,1297.70611183,7.69,9979.36,25.02,10004.38
SCRTSELL0002195950,SCRT,2024/02/04 18:58,Buy,414.77106134,13.05,5412.76,13.54,5426.3
SCRTBUY0002190413,SCRT,2024/01/20 12:26,Sell,829.28256227,14.05,11622.28,29.13,11651.41
SCRTSELL0002346130,SCRT,2024/08/27 16:00,Buy,554.9035786,7.32,4061.89,10.16,4072.05
SCRTSELL0002200592,SCRT,2024/02/11 19:27,Buy,637.24297193,13.9,8857.68,22.15,8879.83
SCRTBUY0002361539,SCRT,2024/10/22 22:13,Sell,4117.223222,7.69,31582.28,79.16,31661.44
SCRTSELL0002195954,SCRT,2024/02/04 18:59,Buy,46.46590038,13.05,606.38,1.52,607.9
SCRTSELL0002195941,SCRT,2024/02/04 18:55,Buy,413.79310345,13.05,5400.0,13.51,5413.51
SCRTBUY0002190416,SCRT,2024/01/20 12:49,Sell,237.91530249,14.05,3334.34,8.36,3342.7
SCRTBUY0002190297,SCRT,2024/01/20 09:15,Sell,1397.65195729,14.05,19587.9,49.1,19637.0
