Name,None None
Tax Year,2024
txn_id,currency,created_date,side,amount,thb_exec_price,thb_exec_val,fee,thb_net
THBWD0012646723,THB,2024/02/04 17:58,Withdraw,93020.0,0.0,0.0,0.0,0.0
THBDP0021849070,THB,2024/09/08 08:00,Deposit,7200.0,0.0,0.0,0.0,0.0
THBDP0022112471,THB,2024/10/12 11:48,Deposit,25000.0,0.0,0.0,0.0,0.0
THBDP0022084462,THB,2024/10/07 16:59,Deposit,9500.0,0.0,0.0,0.0,0.0
THBDP0019907605,THB,2024/02/10 21:41,Deposit,29000.0,0.0,0.0,0.0,0.0
THBDP0022931961,THB,2024/12/20 16:02,Deposit,15000.0,0.0,0.0,0.0,0.0
THBWD0014285300,THB,2024/10/22 23:04,Withdraw,1300.0,0.0,0.0,0.0,0.0
THBDP0021925989,THB,2024/09/17 22:38,Deposit,15500.0,0.0,0.0,0.0,0.0
THBWD0013996772,THB,2024/08/26 06:31,Withdraw,620.0,0.0,0.0,0.0,0.0
THBWD0014213570,THB,2024/10/09 22:40,Withdraw,24522.69,0.0,0.0,0.0,0.0
THBWD0014847128,THB,2024/12/22 20:30,Withdraw,16357.89,0.0,0.0,0.0,0.0
THBWD0014114928,THB,2024/09/20 10:08,Withdraw,520.0,0.0,0.0,0.0,0.0
THBWD0013990837,THB,2024/08/24 22:14,Withdraw,820.0,0.0,0.0,0.0,0.0
THBDP0021013668,THB,2024/06/03 07:09,Deposit,12000.0,0.0,0.0,0.0,0.0
THBWD0013903346,THB,2024/08/07 21:16,Withdraw,1220.0,0.0,0.0,0.0,0.0
THBDP0020849270,THB,2024/05/10 13:50,Deposit,15000.0,0.0,0.0,0.0,0.0
THBDP0021557536,THB,2024/08/05 11:47,Deposit,10000.0,0.0,0.0,0.0,0.0
