Name,None None
Tax Year,2025
txn_id,currency,created_date,side,amount,thb_exec_price,thb_exec_val,fee,thb_net
SPECBUY0023026512,SPEC,2025/12/22 04:41,Sell,45.22192513,3.74,168.69,0.43,169.12
SPECBUY0023026474,SPEC,2025/12/22 04:40,Sell,45.13101604,3.74,168.35,0.43,168.78
SPECBUY0023026539,SPEC,2025/12/22 04:43,Sell,45.39304812,3.74,169.33,0.43,169.76
SPECBUY0023026495,SPEC,2025/12/22 04:41,Sell,808.02139037,3.74,3014.43,7.56,3021.99
SPECBUY0022968211,SPEC,2025/11/22 15:39,Sell,203.39657493,5.91,1199.06,3.01,1202.07
SPECBUY0022988845,SPEC,2025/11/25 08:27,Sell,600.79113924,6.32,3787.49,9.5,3796.99
SPECBUY0022950252,SPEC,2025/11/13 18:11,Sell,360.2920159,7.0,2515.73,6.31,2522.04
SPECBUY0023026528,SPEC,2025/12/22 04:42,Sell,54.58556149,3.74,203.62,0.52,204.14
SPECSELL0017912221,SPEC,2025/11/23 11:50,Buy,88.305,6.0,529.83,1.33,531.16
SPECBUY0022958479,SPEC,2025/11/16 23:29,Sell,239.24671532,6.85,1634.73,4.1,1638.83
SPECBUY0022959365,SPEC,2025/11/17 19:55,Sell,25.2119883,6.84,172.0,0.44,172.44
SPECSELL0017824101,SPEC,2025/11/07 08:34,Buy,393.95840266,6.01,2367.69,5.94,2373.63
SPECBUY0022988846,SPEC,2025/11/25 08:27,Sell,107.10035866,6.32,675.17,1.7,676.87
SPECBUY0022959361,SPEC,2025/11/17 19:55,Sell,25.0614035,6.84,170.98,0.43,171.41
SPECBUY0022959371,SPEC,2025/11/17 20:01,Sell,0.00935362,6.84,0.05,0.01,0.06
SPECBUY0022942890,SPEC,2025/11/10 16:35,Sell,2.86226685,6.97,19.89,0.05,19.94
SPECSELL0017803671,SPEC,2025/11/04 14:05,Buy,517.4382716,6.48,3353.0,8.39,3361.39
SPECSELL0017803672,SPEC,2025/11/04 14:05,Buy,519.75308642,6.48,3368.0,8.43,3376.43
SPECSELL0017933429,SPEC,2025/11/29 10:16,Buy,1662.5,6.0,9975.0,25.0,10000.0
SPECSELL0017934592,SPEC,2025/11/30 09:17,Buy,8.69311532,5.8,50.42,0.13,50.55
SPECBUY0023026473,SPEC,2025/12/22 04:40,Sell,45.29144385,3.74,168.95,0.43,169.38
SPECBUY0022958482,SPEC,2025/11/16 23:29,Sell,79.44817518,6.85,542.84,1.37,544.21
SPECSELL0017864623,SPEC,2025/11/16 07:59,Buy,560.11674347,6.51,3646.36,9.14,3655.5
SPECBUY0022958480,SPEC,2025/11/16 23:29,Sell,98.60583941,6.85,673.75,1.69,675.44
SPECBUY0022959352,SPEC,2025/11/17 19:55,Sell,60.1491228,6.84,410.38,1.03,411.41
SPECBUY0023017645,SPEC,2025/12/17 08:11,Sell,888.32116788,4.11,3641.86,9.13,3650.99
SPECBUY0023026529,SPEC,2025/12/22 04:42,Sell,44.00802139,3.74,164.16,0.42,164.58
